"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","Index","FileName","Package","DataClumps","MessageChains","MiddleMan","SpeculativeGenerality","SwitchStatements","MessageChains","blank","comment","code","codeLines","bug"
"L54212","ArgoVersion.java","src/org/argouml/application/ArgoVersion.java","L54211","1","0","0","0","11","62","8","src/org/argouml/application/ArgoVersion.java","app","0","0","1","0","0","0","5","45","10","10","0"
"L54213","Main.java","src/org/argouml/application/Main.java","L54211","66","0","5","0","613","986","27","src/org/argouml/application/Main.java","app","0","5","1","0","0","2","124","248","613","613","0"
"L54214","StartCritics.java","src/org/argouml/application/StartCritics.java","L54211","2","0","2","0","52","92","29","src/org/argouml/application/StartCritics.java","app","0","1","0","0","0","1","6","33","52","52","0"
"L54215","SubsystemUtility.java","src/org/argouml/application/SubsystemUtility.java","L54211","4","0","1","0","23","64","30","src/org/argouml/application/SubsystemUtility.java","app","0","1","0","0","0","1","5","35","23","23","0"
"L54218","AbstractArgoJPanel.java","src/org/argouml/application/api/AbstractArgoJPanel.java","L54217","5","0","12","0","83","245","1","src/org/argouml/application/api/AbstractArgoJPanel.java","app","0","0","0","1","0","0","32","129","83","83","0"
"L54219","Argo.java","src/org/argouml/application/api/Argo.java","L54217","1","0","4","0","114","419","2","src/org/argouml/application/api/Argo.java","app","0","2","0","0","0","0","59","245","114","114","0"
"L54220","ArgoEventListener.java","src/org/argouml/application/api/ArgoEventListener.java","L54217","1","0","1","0","4","38","3","src/org/argouml/application/api/ArgoEventListener.java","app","0","0","0","1","0","0","4","29","4","4","0"
"L54221","CommandLineInterface.java","src/org/argouml/application/api/CommandLineInterface.java","L54217","1","0","2","0","4","48","4","src/org/argouml/application/api/CommandLineInterface.java","app","0","0","0","0","0","0","3","40","4","4","0"
"L54222","GUISettingsTabInterface.java","src/org/argouml/application/api/GUISettingsTabInterface.java","L54217","1","0","7","0","10","90","5","src/org/argouml/application/api/GUISettingsTabInterface.java","app","0","0","0","0","0","0","10","69","10","10","0"
"L54223","InitSubsystem.java","src/org/argouml/application/api/InitSubsystem.java","L54217","1","0","5","0","8","74","6","src/org/argouml/application/api/InitSubsystem.java","app","0","0","0","0","0","0","8","57","8","8","0"
"L54224","Predicate.java","src/org/argouml/application/api/Predicate.java","L54217","1","0","1","1","4","36","7","src/org/argouml/application/api/Predicate.java","app","0","0","0","1","0","0","2","29","4","4","0"
"L54383","ArgoDiagramAppearanceEvent.java","src/org/argouml/application/events/ArgoDiagramAppearanceEvent.java","L54382","1","0","3","0","9","52","9","src/org/argouml/application/events/ArgoDiagramAppearanceEvent.java","app","0","0","0","0","0","0","5","37","9","9","0"
"L54384","ArgoDiagramAppearanceEventListener.java","src/org/argouml/application/events/ArgoDiagramAppearanceEventListener.java","L54382","1","0","2","0","5","44","10","src/org/argouml/application/events/ArgoDiagramAppearanceEventListener.java","app","0","0","0","0","0","0","5","33","5","5","0"
"L54385","ArgoEvent.java","src/org/argouml/application/events/ArgoEvent.java","L54382","2","0","6","0","22","88","11","src/org/argouml/application/events/ArgoEvent.java","app","0","1","0","0","0","0","9","56","22","22","0"
"L54386","ArgoEventPump.java","src/org/argouml/application/events/ArgoEventPump.java","L54382","59","0","7","0","311","519","12","src/org/argouml/application/events/ArgoEventPump.java","app","0","0","0","0","0","0","55","131","285","285","1"
"L54387","ArgoEventTypes.java","src/org/argouml/application/events/ArgoEventTypes.java","L54382","1","0","1","0","41","229","13","src/org/argouml/application/events/ArgoEventTypes.java","app","0","0","0","1","0","0","44","143","41","41","0"
"L54388","ArgoGeneratorEvent.java","src/org/argouml/application/events/ArgoGeneratorEvent.java","L54382","1","0","3","0","7","49","14","src/org/argouml/application/events/ArgoGeneratorEvent.java","app","0","0","0","0","0","0","5","36","7","7","0"
"L54389","ArgoGeneratorEventListener.java","src/org/argouml/application/events/ArgoGeneratorEventListener.java","L54382","1","0","4","0","7","57","15","src/org/argouml/application/events/ArgoGeneratorEventListener.java","app","0","0","0","1","0","0","8","41","7","7","0"
"L54390","ArgoHelpEvent.java","src/org/argouml/application/events/ArgoHelpEvent.java","L54382","1","0","4","0","15","65","16","src/org/argouml/application/events/ArgoHelpEvent.java","app","0","0","0","0","0","0","6","43","15","15","0"
"L54391","ArgoHelpEventListener.java","src/org/argouml/application/events/ArgoHelpEventListener.java","L54382","1","0","3","0","6","52","17","src/org/argouml/application/events/ArgoHelpEventListener.java","app","0","0","0","0","0","0","5","40","6","6","0"
"L54392","ArgoNotationEvent.java","src/org/argouml/application/events/ArgoNotationEvent.java","L54382","1","0","3","0","7","49","18","src/org/argouml/application/events/ArgoNotationEvent.java","app","0","0","0","0","0","0","5","36","7","7","0"
"L54393","ArgoNotationEventListener.java","src/org/argouml/application/events/ArgoNotationEventListener.java","L54382","1","0","6","0","9","71","19","src/org/argouml/application/events/ArgoNotationEventListener.java","app","0","0","0","0","0","0","10","51","9","9","0"
"L54394","ArgoProfileEvent.java","src/org/argouml/application/events/ArgoProfileEvent.java","L54382","1","0","3","0","7","50","20","src/org/argouml/application/events/ArgoProfileEvent.java","app","0","0","0","0","0","0","4","38","7","7","0"
